epoch;accuracy;ebops;loss;val_accuracy;val_loss
0;0.709851861000061;1295686;2.306049108505249;0.9054999947547913;0.36110180616378784
1;0.8990370631217957;1295686;1.645885705947876;0.9348333477973938;0.23534183204174042
2;0.9240740537643433;1295686;1.5571953058242798;0.9480000138282776;0.1901649385690689
3;0.9385740756988525;935026;1.4229145050048828;0.9505000114440918;0.16994434595108032
4;0.9453518390655518;861545;1.0606290102005005;0.9580000042915344;0.15129819512367249
5;0.9514074325561523;853494;1.0249541997909546;0.9610000252723694;0.1409061700105667
6;0.955574095249176;847676;1.0043197870254517;0.9623333215713501;0.13471011817455292
7;0.9596296548843384;842404;0.9860796332359314;0.9636666774749756;0.12943243980407715
8;0.961981475353241;837477;0.9705288410186768;0.9670000076293945;0.1258503645658493
9;0.9638888835906982;835058;0.9611796736717224;0.9660000205039978;0.12407837808132172
10;0.9659814834594727;830533;0.9478657841682434;0.9629999995231628;0.12813229858875275
11;0.9681296348571777;509960;0.7912175059318542;0.9645000100135803;0.12685637176036835
12;0.9682592749595642;507889;0.6138181686401367;0.9668333530426025;0.11968448758125305
13;0.9712777733802795;480179;0.6029788851737976;0.9633333086967468;0.12233986705541611
14;0.9721851944923401;469185;0.564911961555481;0.9660000205039978;0.11811647564172745
15;0.9750925898551941;465257;0.5513136982917786;0.9671666622161865;0.11851559579372406
16;0.9753333330154419;462482;0.5460147857666016;0.9674999713897705;0.11610643565654755
17;0.9760000109672546;460134;0.5390000343322754;0.9673333168029785;0.12349122017621994
18;0.9769444465637207;455995;0.533486545085907;0.9645000100135803;0.12266381084918976
19;0.9776296019554138;311000;0.49785104393959045;0.9641666412353516;0.11840561777353287
20;0.9618889093399048;310487;0.39534324407577515;0.9664999842643738;0.1341322362422943
21;0.9575740694999695;173366;0.3555986285209656;0.9555000066757202;0.14352372288703918
22;0.9610000252723694;173053;0.30820992588996887;0.9624999761581421;0.12714925408363342
23;0.9640555381774902;170735;0.2910858392715454;0.9653333425521851;0.12274503707885742
24;0.9664074182510376;172472;0.28118109703063965;0.9633333086967468;0.12453385442495346
25;0.9675185084342957;170140;0.27828067541122437;0.9661666750907898;0.11854032427072525
26;0.9695000052452087;163534;0.27206867933273315;0.9653333425521851;0.12223024666309357
27;0.9704259037971497;165319;0.2681857943534851;0.9645000100135803;0.12375093251466751
28;0.9708148241043091;169362;0.26551246643066406;0.9631666541099548;0.12269948422908783
29;0.9723518490791321;171143;0.2607497572898865;0.9649999737739563;0.11556113511323929
