epoch;accuracy;ebops;loss;val_accuracy;val_loss
0;0.702833354473114;32608422;33.56617736816406;0.9368333220481873;0.22622263431549072
1;0.9215370416641235;32608422;32.868438720703125;0.9681666493415833;0.11543607711791992
2;0.9509814977645874;32608422;32.77413558959961;0.9783333539962769;0.08144062757492065
3;0.9605185389518738;20039705;29.355640411376953;0.9816666841506958;0.07137198746204376
4;0.9645185470581055;20032106;20.157852172851562;0.9828333258628845;0.06310141831636429
5;0.9675925970077515;20029267;20.137100219726562;0.9853333234786987;0.057469017803668976
6;0.9717037081718445;20027172;20.12457847595215;0.9858333468437195;0.053387612104415894
7;0.9738703966140747;20024917;20.114282608032227;0.9853333234786987;0.05262845382094383
8;0.9748888611793518;20022527;20.1077938079834;0.9884999990463257;0.04861888661980629
9;0.9762407541275024;20019962;20.09907341003418;0.9878333210945129;0.04873361065983772
10;0.9781481623649597;20017402;20.09235382080078;0.9879999756813049;0.04466746002435684
11;0.9778888821601868;12091555;17.665891647338867;0.987666666507721;0.045300211757421494
12;0.9791111350059509;10135307;11.856718063354492;0.987333357334137;0.04783312603831291
13;0.9763333201408386;10118390;10.196802139282227;0.9878333210945129;0.04778222739696503
14;0.9769999980926514;10115618;10.184552192687988;0.987500011920929;0.04534676671028137
15;0.9782778024673462;10063552;10.172551155090332;0.9878333210945129;0.04247443005442619
16;0.9793703556060791;10111662;10.164432525634766;0.987500011920929;0.047484755516052246
17;0.9793148040771484;10060927;10.15774154663086;0.9886666536331177;0.04138133302330971
18;0.9792037010192871;10052369;10.144933700561523;0.9886666536331177;0.03974971920251846
19;0.9800184965133667;10047500;10.126360893249512;0.987500011920929;0.042202647775411606
20;0.9384074211120605;3497462;5.841104507446289;0.8794999718666077;0.35848307609558105
21;0.9541110992431641;3449414;3.6335740089416504;0.9791666865348816;0.06572387367486954
22;0.9663703441619873;3448750;3.589881420135498;0.9821666479110718;0.06051405891776085
23;0.9687407612800598;3496113;3.576802968978882;0.98416668176651;0.05586809292435646
24;0.9703148007392883;3447416;3.5640933513641357;0.984499990940094;0.05113750696182251
25;0.9720370173454285;3446876;3.5553746223449707;0.9851666688919067;0.04955778643488884
26;0.9725555777549744;3442192;3.5472488403320312;0.9848333597183228;0.051074616611003876
27;0.9737592339515686;3441531;3.5381808280944824;0.9838333129882812;0.05123666301369667
28;0.9108148217201233;1260041;2.95395565032959;0.8500000238418579;0.4422573745250702
29;0.8839259147644043;1151956;1.6645368337631226;0.9466666579246521;0.1745264232158661
30;0.8947592377662659;1283344;1.543252944946289;0.9133333563804626;0.24976450204849243
31;0.8957777619361877;1472912;1.4891464710235596;0.9539999961853027;0.1569361835718155
32;0.8940555453300476;1030280;1.466863751411438;0.9419999718666077;0.17777493596076965
33;0.9054999947547913;990358;1.3724886178970337;0.9476666450500488;0.16952285170555115
34;0.9001666903495789;902898;1.3274509906768799;0.9521666765213013;0.1522376984357834
