epoch,accuracy,loss,lr,val_accuracy,val_loss
0,0.6980670094490051,0.9402911067008972,0.001,0.863283634185791,0.4895336925983429
0,0.7089064121246338,0.9266687035560608,0.001,0.845574676990509,0.5069212913513184
1,0.9117380380630493,0.3003336787223816,0.001,0.8945528864860535,0.3618117570877075
2,0.9283203482627869,0.24281206727027893,0.001,0.9114551544189453,0.31423088908195496
3,0.9389461874961853,0.21080459654331207,0.001,0.9207513928413391,0.28642040491104126
4,0.9445275068283081,0.19110579788684845,0.001,0.9018515944480896,0.33434444665908813
5,0.949785590171814,0.17462009191513062,0.001,0.9269744753837585,0.26523271203041077
6,0.9524059891700745,0.1646229773759842,0.001,0.9230562448501587,0.27795684337615967
7,0.9564981460571289,0.15108013153076172,0.001,0.9378457069396973,0.2287268340587616
8,0.9587433934211731,0.14344929158687592,0.001,0.927204966545105,0.26736047863960266
9,0.9610866904258728,0.1353786736726761,0.001,0.936078667640686,0.23556673526763916
10,0.9629048109054565,0.129080131649971,0.001,0.9373079538345337,0.23733696341514587
11,0.9649479985237122,0.12332329154014587,0.001,0.9343116283416748,0.2482457309961319
12,0.972861111164093,0.0975494384765625,0.00020000001,0.9476797580718994,0.20008952915668488
13,0.9745176434516907,0.09170717000961304,0.00020000001,0.9481407403945923,0.20257633924484253
14,0.9755681157112122,0.08883010596036911,0.00020000001,0.9508297443389893,0.19836437702178955
15,0.9759951829910278,0.08594284951686859,0.00020000001,0.9504072070121765,0.19600293040275574
16,0.9764280915260315,0.08416298776865005,0.00020000001,0.9492547512054443,0.20252597332000732
17,0.9768898487091064,0.08271286636590958,0.00020000001,0.949984610080719,0.1976504921913147
18,0.9775651097297668,0.08088462054729462,0.00020000001,0.9493700265884399,0.1980915069580078
19,0.9789907336235046,0.07570134103298187,4.0000003e-05,0.9507913589477539,0.19773349165916443
20,0.9795852303504944,0.07401321083307266,4.0000003e-05,0.9502151012420654,0.19772998988628387
21,0.9795910120010376,0.07427681237459183,4.0000003e-05,0.9510217905044556,0.19881977140903473
22,0.9794697761535645,0.07403548061847687,4.0000003e-05,0.9507145285606384,0.19691723585128784
23,0.9799026846885681,0.07315205037593842,4.0000003e-05,0.9513675570487976,0.1971302181482315
24,0.9800642728805542,0.07277984917163849,4.0000003e-05,0.951252281665802,0.19829313457012177
25,0.9801162481307983,0.0722624659538269,4.0000003e-05,0.9515212178230286,0.1974783092737198
26,0.9800989031791687,0.07195659726858139,4.0000003e-05,0.9510217905044556,0.1982557624578476
27,0.9801681637763977,0.07189396768808365,4.0000003e-05,0.951252281665802,0.19895048439502716
28,0.9804509878158569,0.0710081160068512,4.0000003e-05,0.950484037399292,0.1999453902244568
29,0.9799084663391113,0.0709465742111206,4.0000003e-05,0.9512138962745667,0.1998228132724762
30,0.9814783930778503,0.06912152469158173,8.000001e-06,0.9510602355003357,0.19927875697612762
31,0.9808838963508606,0.0693233460187912,8.000001e-06,0.9514443874359131,0.19905033707618713
32,0.9808838963508606,0.06991180032491684,8.000001e-06,0.9512907266616821,0.19876034557819366
33,0.9806703329086304,0.06976661831140518,8.000001e-06,0.9510602355003357,0.1986846625804901
