epoch;accuracy;beta;ebops;learning_rate;loss;val_accuracy;val_loss
0;0.35596251487731934;1e-07;252177926;9.999999747378752e-05;27.13948631286621;0.06699446588754654;2.352334499359131
1;0.6839550733566284;1e-07;252177926;0.00011800000356743112;26.215925216674805;0.24423785507678986;2.1394522190093994
2;0.7963199019432068;1e-07;252177926;0.00013600000238511711;25.890642166137695;0.425937294960022;1.7172338962554932
3;0.8392214775085449;1e-07;252177926;0.0001539999939268455;25.76173210144043;0.6674477458000183;1.1494994163513184
4;0.8620084524154663;1e-07;252177926;0.0001720000000204891;25.690021514892578;0.7986708879470825;0.7468339204788208
5;0.8782675266265869;1e-07;252177926;0.0001900000061141327;25.63903045654297;0.8301705718040466;0.6015409827232361
6;0.8892281651496887;1e-07;252177926;0.00020799999765586108;25.60389518737793;0.8440381288528442;0.5447993874549866
7;0.8974356055259705;1e-07;252177926;0.00022600000374950469;25.576753616333008;0.8291717767715454;0.5838657021522522
8;0.9042982459068298;1e-07;252177926;0.00024399999529123306;25.553647994995117;0.8572142124176025;0.48832327127456665
9;0.9117496013641357;1e-07;252177926;0.00026199998683296144;25.5292911529541;0.8656269311904907;0.46703657507896423
10;0.9162804484367371;1e-07;252177926;0.0002800000074785203;25.514495849609375;0.8744238018989563;0.43492424488067627
11;0.9192759990692139;1e-07;252177926;0.00029799999902024865;25.502361297607422;0.8910571336746216;0.3889671862125397
12;0.9250304698944092;1e-07;252177926;0.00031599999056197703;25.486072540283203;0.8819530010223389;0.4091881513595581
13;0.927818238735199;1e-07;252177926;0.00033400001120753586;25.474321365356445;0.8844115138053894;0.40044617652893066
14;0.9314255714416504;1e-07;252177926;0.00035200000274926424;25.464691162109375;0.8980485796928406;0.36172619462013245
15;0.9337169528007507;1e-07;252177926;0.0003699999942909926;25.456809997558594;0.884027361869812;0.4042958617210388
16;0.9354254007339478;1e-07;252177926;0.000387999985832721;25.44950294494629;0.895244300365448;0.3634120523929596
17;0.9394367933273315;1e-07;252177926;0.00040600000647827983;25.437576293945312;0.9069222211837769;0.33385732769966125
18;0.9404468536376953;1e-07;252177926;0.0004239999980200082;25.432199478149414;0.8968192934989929;0.3699420094490051
19;0.9424265623092651;1e-07;252177926;0.0004419999895617366;25.426788330078125;0.906960666179657;0.33837267756462097
20;0.9443255066871643;1e-07;251462594;0.0004600000102072954;25.41742706298828;0.9040411710739136;0.34580838680267334
21;0.9363431334495544;1e-07;166232538;0.0004780000017490238;17.412538528442383;0.8839505314826965;0.39675211906433105
22;0.9404295086860657;1e-07;162697406;0.0004959999932907522;16.622041702270508;0.8776505589485168;0.4082111418247223
23;0.9435809254646301;1e-07;161244422;0.000514000013936311;16.38750648498535;0.8970881700515747;0.35919129848480225
24;0.9459531307220459;1e-07;160359034;0.0005319999763742089;16.272310256958008;0.8989704847335815;0.3556450307369232
25;0.9480482935905457;1e-07;159640194;0.0005499999970197678;16.186046600341797;0.8741933107376099;0.42522111535072327
26;0.9485561847686768;1e-07;158951474;0.0005680000176653266;16.112747192382812;0.8707744479179382;0.43531855940818787
27;0.9514420628547668;1e-07;158335178;0.0005859999801032245;16.039501190185547;0.9074600338935852;0.3291645348072052
28;0.9536122679710388;1e-07;157680050;0.0006040000007487833;15.970008850097656;0.896665632724762;0.35276222229003906
29;0.9532544016838074;1e-07;157092162;0.0006220000213943422;15.907188415527344;0.9094575643539429;0.3177800178527832
30;0.9551302194595337;1e-07;156539102;0.0006399999838322401;15.84327220916748;0.9016979336738586;0.34696128964424133
31;0.956342339515686;1e-07;156086802;0.0006580000044777989;15.788647651672363;0.8998924493789673;0.34752407670021057
32;0.9571503400802612;1e-07;155726782;0.0006760000251233578;15.745545387268066;0.8997387886047363;0.3487245738506317
33;0.9566251039505005;1e-07;155459242;0.0006939999875612557;15.715757369995117;0.9125691652297974;0.31468313932418823
34;0.9584201574325562;1e-07;155261882;0.0007120000082068145;15.687878608703613;0.8823755383491516;0.40465685725212097
