epoch;accuracy;beta;ebops;learning_rate;loss;val_accuracy;val_loss
0;0.17372222244739532;1e-07;1295686;9.999999747378752e-05;2.394512176513672;0.22750000655651093;2.19248104095459
1;0.2532407343387604;1e-07;1295686;0.00011800000356743112;2.274317502975464;0.31299999356269836;2.05161190032959
2;0.3234814703464508;1e-07;1295686;0.00013600000238511711;2.123746156692505;0.4013333320617676;1.8791481256484985
3;0.4320555627346039;1e-07;1295686;0.0001539999939268455;1.940003752708435;0.5568333268165588;1.6690819263458252
4;0.6262778043746948;1e-07;1295686;0.0001720000000204891;1.6960763931274414;0.7450000047683716;1.3790841102600098
5;0.7495185136795044;1e-07;1295686;0.0001900000061141327;1.4168802499771118;0.8140000104904175;1.1002675294876099
6;0.791018545627594;1e-07;1295686;0.00020799999765586108;1.1748003959655762;0.8351666927337646;0.8755501508712769
7;0.8151666522026062;1e-07;1295686;0.00022600000374950469;0.9908728003501892;0.8513333201408386;0.7146562337875366
8;0.8347963094711304;1e-07;1295686;0.00024399999529123306;0.8591193556785583;0.8683333396911621;0.6054400205612183
9;0.8492222428321838;1e-07;1295686;0.00026199998683296144;0.7633551359176636;0.8786666393280029;0.5197259783744812
10;0.8616481423377991;1e-07;1295686;0.0002800000074785203;0.6910609602928162;0.8911666870117188;0.45914945006370544
11;0.8726111054420471;1e-07;1295686;0.00029799999902024865;0.6371936202049255;0.8973333239555359;0.41558578610420227
12;0.8808333277702332;1e-07;1295686;0.00031599999056197703;0.5922717452049255;0.9026666879653931;0.3769265413284302
13;0.887666642665863;1e-07;1295686;0.00033400001120753586;0.5567044615745544;0.9114999771118164;0.3491068482398987
14;0.8935925960540771;1e-07;1295686;0.00035200000274926424;0.5290333032608032;0.9176666736602783;0.3246777355670929
15;0.8982962965965271;1e-07;1295686;0.0003699999942909926;0.5058592557907104;0.922166645526886;0.30585649609565735
16;0.903333306312561;1e-07;1295686;0.000387999985832721;0.48507386445999146;0.9240000247955322;0.29088008403778076
17;0.907370388507843;1e-07;1295686;0.00040600000647827983;0.4677313268184662;0.9278333187103271;0.27676424384117126
18;0.9109814763069153;1e-07;1295686;0.0004239999980200082;0.45333999395370483;0.9271666407585144;0.2673225998878479
19;0.9129074215888977;1e-07;1295686;0.0004419999895617366;0.44157540798187256;0.9306666851043701;0.25747543573379517
20;0.9159073829650879;1e-07;1295686;0.0004600000102072954;0.42949530482292175;0.9350000023841858;0.24725034832954407
21;0.9186851978302002;1e-07;1295686;0.0004780000017490238;0.4192432463169098;0.934166669845581;0.23832017183303833
22;0.9210000038146973;1e-07;1295686;0.0004959999932907522;0.4085785150527954;0.9366666674613953;0.23120105266571045
23;0.9223703742027283;1e-07;1295686;0.000514000013936311;0.4010624289512634;0.937166690826416;0.22509855031967163
24;0.9248703718185425;1e-07;1295686;0.0005319999763742089;0.39236652851104736;0.937666654586792;0.21932363510131836
25;0.9269999861717224;1e-07;1295686;0.0005499999970197678;0.3850724399089813;0.9403333067893982;0.21397387981414795
26;0.9278518557548523;1e-07;1295686;0.0005680000176653266;0.37841472029685974;0.940833330154419;0.2078460305929184
27;0.9309629797935486;1e-07;1295686;0.0005859999801032245;0.3704831004142761;0.9423333406448364;0.20101475715637207
28;0.9327037334442139;1e-07;1295686;0.0006040000007487833;0.3635905385017395;0.9448333382606506;0.19725970923900604
